,County,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
1048,"Will County, Illinois",677669,76352,687727,80782
1049,"Williamson County, Illinois",66335,41596,67477,48600
1050,"Winnebago County, Illinois",294433,47573,287512,51110
1051,"Woodford County, Illinois",38736,68552,38942,69507
1052,"Adams County, Indiana",34343,45339,35018,48290
1053,"Allen County, Indiana",355940,50030,367747,51091
1054,"Bartholomew County, Indiana",77297,54481,81024,57331
1055,"Benton County, Indiana",8816,47828,8685,49183
1056,"Blackford County, Indiana",12742,39619,12214,40622
1057,"Boone County, Indiana",56823,68774,63013,75591
1058,"Brown County, Indiana",15181,48652,15007,59292
1059,"Carroll County, Indiana",20105,49935,19994,56188
1060,"Cass County, Indiana",38875,41135,38248,45558
1061,"Clark County, Indiana",110100,50559,114893,52834
1062,"Clay County, Indiana",26908,46817,26375,50924
1063,"Clinton County, Indiana",33179,48321,32455,51659
1064,"Crawford County, Indiana",10702,40027,10598,40067
1065,"Daviess County, Indiana",31604,45927,32777,48355
1066,"Dearborn County, Indiana",49904,58098,49564,62905
1067,"Decatur County, Indiana",25772,48298,26480,52270
1068,"DeKalb County, Indiana",42218,46065,42524,51374
1069,"Delaware County, Indiana",117459,38215,115938,41208
1070,"Dubois County, Indiana",41995,54168,42379,57307
1071,"Elkhart County, Indiana",198214,46712,202924,52449
1072,"Fayette County, Indiana",24220,36602,23426,41476
1073,"Floyd County, Indiana",74601,53208,76481,59451
1074,"Fountain County, Indiana",17212,45919,16620,46669
1075,"Franklin County, Indiana",23108,50271,22835,55588
1076,"Fulton County, Indiana",20762,40910,20296,47108
1077,"Gibson County, Indiana",33437,48524,33596,51149
1078,"Grant County, Indiana",69886,39751,67615,42046
1079,"Greene County, Indiana",33032,43850,32431,49648
1080,"Hamilton County, Indiana",276098,84821,309687,90582
1081,"Hancock County, Indiana",69778,62702,72776,70973
1082,"Harrison County, Indiana",39102,52184,39450,53897
1083,"Hendricks County, Indiana",145880,68283,158170,74245
1084,"Henry County, Indiana",49381,40197,48649,46131
1085,"Howard County, Indiana",82914,44452,82457,47958
1086,"Huntington County, Indiana",37144,46538,36520,50063
1087,"Jackson County, Indiana",42414,45883,43779,49080
1088,"Jasper County, Indiana",33369,57801,33448,56574
1089,"Jay County, Indiana",21353,40926,21107,42878
1090,"Jefferson County, Indiana",32501,43395,32293,50722
1091,"Jennings County, Indiana",28373,45273,27840,48362
1092,"Johnson County, Indiana",140033,62888,149359,65272
1093,"Knox County, Indiana",38392,41089,37763,44837
1094,"Kosciusko County, Indiana",77328,50822,78720,57190
1095,"LaGrange County, Indiana",37284,46625,38720,58336
1096,"Lake County, Indiana",495230,49315,488694,52559
1097,"LaPorte County, Indiana",111335,47754,110839,49921
1098,"Lawrence County, Indiana",46131,41600,45669,49985
1099,"Madison County, Indiana",131244,44245,129641,45432
1100,"Marion County, Indiana",904535,42603,939964,44869
1101,"Marshall County, Indiana",47045,47218,46752,51869
1102,"Martin County, Indiana",10300,44291,10219,49372
1103,"Miami County, Indiana",36850,39816,36035,46666
1104,"Monroe County, Indiana",138048,38675,144436,45689
1105,"Montgomery County, Indiana",38207,46026,38288,53075
1106,"Morgan County, Indiana",69033,56303,69533,60317
1107,"Newton County, Indiana",14199,49816,14056,52193
1108,"Noble County, Indiana",47547,46360,47421,52393
1109,"Ohio County, Indiana",6093,49591,5911,58359
1110,"Orange County, Indiana",19828,37410,19623,42803
1111,"Owen County, Indiana",21583,42707,20957,48315
1112,"Parke County, Indiana",17251,45489,17062,44643
1113,"Perry County, Indiana",19408,47132,19229,49689
1114,"Pike County, Indiana",12849,40760,12471,50196
1115,"Porter County, Indiana",164386,62457,167391,65979
1116,"Posey County, Indiana",25840,57777,25599,60992
1117,"Pulaski County, Indiana",13395,43506,12761,47633
1118,"Putnam County, Indiana",37995,50480,37543,55295
1119,"Randolph County, Indiana",26101,40910,25203,44985
1120,"Ripley County, Indiana",28702,49031,28372,53698
1121,"Rush County, Indiana",17349,46125,16765,47955
1122,"St. Joseph County, Indiana",266785,44989,268613,48121
1123,"Scott County, Indiana",24044,41610,23722,49243
1124,"Shelby County, Indiana",44435,51829,44339,57216
1125,"Spencer County, Indiana",20948,54832,20610,55280
1126,"Starke County, Indiana",23310,39909,22966,45526
1127,"Steuben County, Indiana",34116,48291,34459,52749
1128,"Sullivan County, Indiana",21379,45330,20900,45031
1129,"Switzerland County, Indiana",10509,44833,10617,43468
1130,"Tippecanoe County, Indiana",173317,44047,186081,50486
1131,"Tipton County, Indiana",15917,53368,15290,53931
1132,"Union County, Indiana",7449,44263,7225,45531
1133,"Vanderburgh County, Indiana",179610,43645,181831,44815
1134,"Vermillion County, Indiana",16224,41864,15644,45440
1135,"Vigo County, Indiana",107805,40547,107723,42030
1136,"Wabash County, Indiana",32804,44389,31848,49052
1137,"Warren County, Indiana",8490,51504,8269,58950
1138,"Warrick County, Indiana",59643,61948,61581,66080
1139,"Washington County, Indiana",28162,41125,27807,46861
1140,"Wayne County, Indiana",68797,39131,66972,41813
1141,"Wells County, Indiana",27677,49841,27832,53038
1142,"White County, Indiana",24612,48940,24279,51404
1143,"Whitley County, Indiana",33234,50568,33481,57041
1144,"Adair County, Iowa",7628,47872,7192,49477
1145,"Adams County, Iowa",4027,45099,3785,49745
1146,"Allamakee County, Iowa",14285,47539,13940,47895
1147,"Appanoose County, Iowa",12858,37866,12547,40377
1148,"Audubon County, Iowa",6077,47630,5711,48750
1149,"Benton County, Iowa",26044,57488,25646,64061
1150,"Black Hawk County, Iowa",130843,45610,132960,50916
1151,"Boone County, Iowa",26324,51284,26381,57906
1152,"Bremer County, Iowa",24294,60193,24741,65440
1153,"Buchanan County, Iowa",20988,54596,21101,59348
1154,"Buena Vista County, Iowa",20215,46947,20369,52784
1155,"Butler County, Iowa",14899,51348,14822,53937
1156,"Calhoun County, Iowa",9936,45097,9814,46302
1157,"Carroll County, Iowa",20751,48824,20428,54563
1158,"Cass County, Iowa",13865,43114,13327,45637
1159,"Cedar County, Iowa",18446,58433,18368,62555
1160,"Cerro Gordo County, Iowa",44083,44762,43134,50569
1161,"Cherokee County, Iowa",12011,47816,11577,53998
1162,"Chickasaw County, Iowa",12409,43741,12140,50688
1163,"Clarke County, Iowa",9286,44211,9267,49718
1164,"Clay County, Iowa",16649,46880,16387,48978
1165,"Clayton County, Iowa",18056,46617,17711,51114
1166,"Clinton County, Iowa",49074,49010,47587,50295
1167,"Crawford County, Iowa",17100,46601,17131,51091
1168,"Dallas County, Iowa",66997,71878,80864,82719
1169,"Davis County, Iowa",8718,46807,8834,52390
1170,"Decatur County, Iowa",8382,34942,8105,41042
1171,"Delaware County, Iowa",17721,51663,17326,60534
1172,"Des Moines County, Iowa",40268,43427,39876,47524
1173,"Dickinson County, Iowa",16778,53426,17000,59889
1174,"Dubuque County, Iowa",93776,50885,96571,59150
1175,"Emmet County, Iowa",10263,46547,9661,47419
1176,"Fayette County, Iowa",20894,42995,20139,48412
1177,"Floyd County, Iowa",16204,42386,15904,48607
1178,"Franklin County, Iowa",10650,49144,10326,48172
1179,"Fremont County, Iowa",7373,49245,6985,54430
1180,"Greene County, Iowa",9304,45816,9046,52529
1181,"Grundy County, Iowa",12431,56264,12354,65170
1182,"Guthrie County, Iowa",10915,49114,10664,56306
1183,"Hamilton County, Iowa",15614,45691,15201,55836
1184,"Hancock County, Iowa",11320,48695,10971,57840
1185,"Hardin County, Iowa",17479,47902,17239,52207
1186,"Harrison County, Iowa",14838,53939,14196,57558
1187,"Henry County, Iowa",20242,43843,19865,52275
1188,"Howard County, Iowa",9568,45300,9321,51422
1189,"Humboldt County, Iowa",9818,48710,9586,48847
1190,"Ida County, Iowa",7113,43690,6965,51978
1191,"Iowa County, Iowa",16320,57318,16231,58077
1192,"Jackson County, Iowa",19807,44854,19409,51806
1193,"Jasper County, Iowa",36823,48746,36789,56363
1194,"Jefferson County, Iowa",16791,48411,17945,44516
1195,"Johnson County, Iowa",131627,53993,144425,59965
1196,"Jones County, Iowa",20686,53562,20468,58391
1197,"Keokuk County, Iowa",10480,42688,10223,48399
1198,"Kossuth County, Iowa",15510,49431,15166,54868
1199,"Lee County, Iowa",35741,41954,34785,48266
1200,"Linn County, Iowa",211954,56790,220008,62702
1201,"Louisa County, Iowa",11448,49905,11238,54393
1202,"Lucas County, Iowa",8913,44020,8600,47325
1203,"Lyon County, Iowa",11623,49727,11745,62012
1204,"Madison County, Iowa",15630,56765,15720,60077
1205,"Mahaska County, Iowa",22432,47758,22301,50568
1206,"Marion County, Iowa",33388,53684,33127,57917
1207,"Marshall County, Iowa",40568,49259,40476,52752
1208,"Mills County, Iowa",15028,62908,14933,67949
1209,"Mitchell County, Iowa",10761,50574,10663,53675
1210,"Monona County, Iowa",9242,42832,8865,41598
1211,"Monroe County, Iowa",7979,45266,7912,50179
1212,"Montgomery County, Iowa",10710,40530,10239,43674
1213,"Muscatine County, Iowa",42729,51675,42923,56398
1214,"O'Brien County, Iowa",14302,45194,13944,56314
1215,"Osceola County, Iowa",6413,45951,6149,53604
1216,"Page County, Iowa",15902,41803,15393,46708
1217,"Palo Alto County, Iowa",9402,40500,9110,50470
1218,"Plymouth County, Iowa",24911,58916,25027,61316
1219,"Pocahontas County, Iowa",7307,42138,6972,45969
1220,"Polk County, Iowa",431811,58096,467235,63530
1221,"Pottawattamie County, Iowa",92793,49941,93287,56291
1222,"Poweshiek County, Iowa",18888,50703,18428,51456
1223,"Ringgold County, Iowa",5123,43655,4986,50642
1224,"Sac County, Iowa",10307,46606,9936,53254
1225,"Scott County, Iowa",165432,53002,171493,57681
1226,"Shelby County, Iowa",12158,47731,11772,55638
1227,"Sioux County, Iowa",33776,55252,34692,66022
1228,"Story County, Iowa",89734,49683,95888,52671
1229,"Tama County, Iowa",17746,49244,17236,56110
1230,"Taylor County, Iowa",6292,42638,6214,46825
1231,"Union County, Iowa",12525,41795,12497,47597
1232,"Van Buren County, Iowa",7565,41572,7308,47197
1233,"Wapello County, Iowa",35449,41088,35321,43329
1234,"Warren County, Iowa",46239,62778,48630,71514
1235,"Washington County, Iowa",21765,52636,22095,59157
1236,"Wayne County, Iowa",6372,38447,6405,42434
1237,"Webster County, Iowa",37895,41751,36945,42148
1238,"Winnebago County, Iowa",10800,46438,10545,50072
1239,"Winneshiek County, Iowa",21033,52827,20575,60788
1240,"Woodbury County, Iowa",101948,45289,102397,51350
1241,"Worth County, Iowa",7581,50603,7502,50880
1242,"Wright County, Iowa",13173,45713,12864,48935
1243,"Allen County, Kansas",13364,39714,12752,43031
1244,"Anderson County, Kansas",8066,43060,7840,40986
1245,"Atchison County, Kansas",16854,45666,16466,46640
1246,"Barber County, Kansas",4867,43048,4905,52075
1247,"Barton County, Kansas",27556,46639,27067,46070
1248,"Bourbon County, Kansas",15060,38250,14757,39379
1249,"Brown County, Kansas",9962,37515,9736,46964
1250,"Butler County, Kansas",65647,57424,66260,62324
1251,"Chase County, Kansas",2788,36434,2665,42772
1252,"Chautauqua County, Kansas",3654,37039,3425,39531
1253,"Cherokee County, Kansas",21521,41877,20501,41101
1254,"Cheyenne County, Kansas",2724,39167,2677,47167
1255,"Clark County, Kansas",2198,39563,2089,46094
1256,"Clay County, Kansas",8547,43879,8203,55434
1257,"Cloud County, Kansas",9479,37382,9191,44199
1258,"Coffey County, Kansas",8553,50106,8328,58662
1259,"Comanche County, Kansas",1893,39950,1741,51563
1260,"Cowley County, Kansas",36259,41905,35732,46624
1261,"Crawford County, Kansas",39133,36927,39099,38017
1262,"Decatur County, Kansas",2939,38750,2891,41230
1263,"Dickinson County, Kansas",19766,49535,19162,49663
1264,"Doniphan County, Kansas",7931,46346,7790,50300
1265,"Douglas County, Kansas",111073,48395,117806,54370
1266,"Edwards County, Kansas",3021,43953,2946,50229
1267,"Elk County, Kansas",2856,33239,2581,39405
1268,"Ellis County, Kansas",28525,44253,28877,49562
1269,"Ellsworth County, Kansas",6477,46350,6331,48550
1270,"Finney County, Kansas",36608,49617,37097,51703
1271,"Ford County, Kansas",33725,50577,34658,49890
1272,"Franklin County, Kansas",25916,50240,25599,53167
1273,"Geary County, Kansas",34110,47879,35796,46096
1274,"Gove County, Kansas",2771,44426,2632,50817
1275,"Graham County, Kansas",2617,43929,2561,43427
1276,"Grant County, Kansas",7817,53800,7716,57474
1277,"Gray County, Kansas",5982,55000,6004,61220
1278,"Greeley County, Kansas",1234,52212,1210,47045
1279,"Greenwood County, Kansas",6654,39145,6227,41648
1280,"Hamilton County, Kansas",2656,43125,2621,48160
1281,"Harper County, Kansas",5998,38340,5746,48059
1282,"Harvey County, Kansas",34572,49075,34683,55687
1283,"Haskell County, Kansas",4222,52688,4081,53780
1284,"Hodgeman County, Kansas",1949,44318,1875,55345
1285,"Jackson County, Kansas",13401,54710,13322,53592
1286,"Jefferson County, Kansas",19036,58434,18856,58935
1287,"Jewell County, Kansas",3085,38462,2963,43125
1288,"Johnson County, Kansas",546046,75139,578797,81121
1289,"Kearny County, Kansas",3952,47069,3931,51439
1290,"Kingman County, Kansas",7876,47801,7576,57593
1291,"Kiowa County, Kansas",2503,41574,2524,48226
1292,"Labette County, Kansas",21574,40117,20553,45706
1293,"Lane County, Kansas",1666,49063,1702,51765
1294,"Leavenworth County, Kansas",76286,62035,79359,70022
1295,"Lincoln County, Kansas",3240,41250,3121,48693
1296,"Linn County, Kansas",9613,44771,9602,46576
1297,"Logan County, Kansas",2766,46047,2790,49926
1298,"Lyon County, Kansas",34103,38877,33302,42992
1299,"McPherson County, Kansas",29208,54171,28792,56946
1300,"Marion County, Kansas",12565,45323,12087,50212
1301,"Marshall County, Kansas",10083,41867,9859,50420
1302,"Meade County, Kansas",4504,49846,4295,54167
1303,"Miami County, Kansas",32546,61272,32976,63501
1304,"Mitchell County, Kansas",6359,48046,6230,44591
1305,"Montgomery County, Kansas",35167,41073,33463,43977
1306,"Morris County, Kansas",5917,45000,5605,50338
1307,"Morton County, Kansas",3207,44198,2931,43813
1308,"Nemaha County, Kansas",10170,46901,10095,53368
1309,"Neosho County, Kansas",16501,40829,16209,44402
1310,"Ness County, Kansas",3102,47870,3001,48412
1311,"Norton County, Kansas",5658,42776,5527,50673
1312,"Osage County, Kansas",16300,50243,15894,54186
1313,"Osborne County, Kansas",3852,38561,3684,42173
1314,"Ottawa County, Kansas",6099,53497,5957,51797
1315,"Pawnee County, Kansas",6945,44106,6776,46224
1316,"Phillips County, Kansas",5579,42838,5446,46806
1317,"Pottawatomie County, Kansas",21620,56775,23188,64410
1318,"Pratt County, Kansas",9670,43880,9670,53415
1319,"Rawlins County, Kansas",2555,40896,2520,50893
1320,"Reno County, Kansas",64346,43649,63360,47897
1321,"Republic County, Kansas",4965,41000,4705,43489
1322,"Rice County, Kansas",10077,45703,9868,48333
1323,"Riley County, Kansas",71927,43364,75696,48428
1324,"Rooks County, Kansas",5205,41123,5148,48352
1325,"Rush County, Kansas",3262,41306,3119,43594
1326,"Russell County, Kansas",6926,40551,6987,48427
1327,"Saline County, Kansas",55493,47339,55334,49728
1328,"Scott County, Kansas",4872,58520,4981,62198
1329,"Sedgwick County, Kansas",497062,49885,510484,52841
1330,"Seward County, Kansas",23013,47731,22948,47535
1331,"Shawnee County, Kansas",177688,47992,178392,54667
1332,"Sheridan County, Kansas",2562,49125,2497,56607
1333,"Sherman County, Kansas",6036,42642,5999,52030
1334,"Smith County, Kansas",3835,44798,3693,45357
1335,"Stafford County, Kansas",4398,43232,4251,47121
1336,"Stanton County, Kansas",2200,51823,2107,42222
1337,"Stevens County, Kansas",5633,56991,5741,57500
1338,"Sumner County, Kansas",24000,48105,23336,52695
1339,"Thomas County, Kansas",7854,48029,7847,52465
1340,"Trego County, Kansas",2977,44063,2899,55197
1341,"Wabaunsee County, Kansas",7048,55817,6918,58947
1342,"Wallace County, Kansas",1508,46932,1591,60000
1343,"Washington County, Kansas",5806,42962,5572,47992
1344,"Wichita County, Kansas",2239,51098,2157,55109
1345,"Wilson County, Kansas",9368,40414,8858,44468
1346,"Woodson County, Kansas",3311,30852,3178,36493
1347,"Wyandotte County, Kansas",157274,39163,163227,42783
1348,"Adair County, Kentucky",18651,31169,19304,36575
1349,"Allen County, Kentucky",20007,36123,20628,40598
1350,"Anderson County, Kentucky",21442,52294,22017,51681
1351,"Ballard County, Kentucky",8268,41989,8152,42988
1352,"Barren County, Kentucky",42229,37587,43418,39658
1353,"Bath County, Kentucky",11665,29632,12189,38763
1354,"Bell County, Kentucky",28613,25952,27469,23558
1355,"Boone County, Kentucky",119406,67125,127682,72731
1356,"Bourbon County, Kentucky",20004,40894,20017,47886
1357,"Boyd County, Kentucky",49358,39076,48486,45543
1358,"Boyle County, Kentucky",28445,41037,29773,43076
1359,"Bracken County, Kentucky",8488,38724,8330,40458
1360,"Breathitt County, Kentucky",13922,23049,13276,25861
1361,"Breckinridge County, Kentucky",20068,39695,19991,44057
1362,"Bullitt County, Kentucky",74431,53922,78622,59917
1363,"Butler County, Kentucky",12748,36237,12735,39362
1364,"Caldwell County, Kentucky",12977,37778,12747,46182
1365,"Calloway County, Kentucky",37198,39037,38616,39269
1366,"Campbell County, Kentucky",90119,53580,91804,57208
1367,"Carlisle County, Kentucky",5081,37768,4890,38860
1368,"Carroll County, Kentucky",10851,40938,10695,43345
1369,"Carter County, Kentucky",27594,35415,27385,35095
1370,"Casey County, Kentucky",15984,28416,15805,33031
1371,"Christian County, Kentucky",73722,37750,72438,41849
1372,"Gallatin County, Montana",90339,52211,100733,59397
1373,"Garfield County, Montana",1100,40125,1086,47188
1374,"Glacier County, Montana",13422,36872,13677,29201
1375,"Golden Valley County, Montana",769,38289,747,43854
1376,"Granite County, Montana",3083,40511,3206,49063
1377,"Hill County, Montana",16157,42875,16468,45269
1378,"Jefferson County, Montana",11360,60459,11625,64911
1379,"Judith Basin County, Montana",2052,41100,1965,43281
1380,"Lake County, Montana",28794,37211,29518,42582
1381,"Lewis and Clark County, Montana",63432,54535,66290,60789
1382,"Liberty County, Montana",2326,40734,2245,46641
1383,"Lincoln County, Montana",19594,33234,19249,36934
1384,"McCone County, Montana",1808,46528,1728,46193
1385,"Madison County, Montana",7688,48600,7902,47900
1386,"Meagher County, Montana",1900,35000,2000,41343
1387,"Mineral County, Montana",4203,32618,4194,40117
1388,"Missoula County, Montana",109402,44653,114231,49412
1389,"Musselshell County, Montana",4597,43079,4766,38156
1390,"Park County, Montana",15655,40781,16001,44920
1391,"Petroleum County, Montana",566,40682,453,46429
1392,"Phillips County, Montana",4203,41214,4139,42101
1393,"Pondera County, Montana",6147,39223,6081,44597
1394,"Powder River County, Montana",1639,42500,1610,51136
1395,"Powell County, Montana",7067,40765,6852,44352
1396,"Prairie County, Montana",1193,34875,1325,50850
1397,"Ravalli County, Montana",40311,40525,41387,44733
1398,"Richland County, Montana",9961,56050,11405,66572
1399,"Roosevelt County, Montana",10477,40146,11218,39219
1400,"Rosebud County, Montana",9261,45977,9292,54709
1401,"Sanders County, Montana",11421,30900,11414,36445
1402,"Sheridan County, Montana",3447,48148,3568,51940
1403,"Silver Bow County, Montana",34164,39211,34514,40480
1404,"Stillwater County, Montana",9096,53533,9342,61998
1405,"Sweet Grass County, Montana",3661,44179,3646,49761
1406,"Teton County, Montana",6082,42423,6040,51060
1407,"Toole County, Montana",5210,45057,5031,46735
1408,"Treasure County, Montana",698,38125,790,42454
1409,"Valley County, Montana",7423,45083,7561,55267
1410,"Wheatland County, Montana",2142,31496,2108,37222
1411,"Wibaux County, Montana",899,45625,1121,47132
1412,"Yellowstone County, Montana",148191,50608,156332,57955
1413,"Adams County, Nebraska",31299,49017,31564,51721
1414,"Antelope County, Nebraska",6655,40397,6406,46949
1415,"Arthur County, Nebraska",490,45769,421,41250
1416,"Banner County, Nebraska",778,32292,728,55000
1417,"Blaine County, Nebraska",584,41364,502,52000
1418,"Boone County, Nebraska",5473,44491,5357,53854
1419,"Box Butte County, Nebraska",11345,44025,11200,56328
1420,"Boyd County, Nebraska",2025,38281,2049,48750
1421,"Brown County, Nebraska",3183,33333,3058,42773
1422,"Buffalo County, Nebraska",46330,50307,48834,55053
1423,"Burt County, Nebraska",6829,47786,6546,50174
1424,"Butler County, Nebraska",8345,50569,8105,52448
1425,"Cass County, Nebraska",25214,64979,25513,68284
1426,"Cedar County, Nebraska",8807,43718,8561,57208
1427,"Chase County, Nebraska",3964,43125,3803,54568
1428,"Cherry County, Nebraska",5722,45172,5792,53226
1429,"Cheyenne County, Nebraska",10038,50694,10012,58770
1430,"Clay County, Nebraska",6497,45711,6264,54167
1431,"Colfax County, Nebraska",10453,48561,10616,54876
1432,"Cuming County, Nebraska",9140,47325,9039,50734
1433,"Custer County, Nebraska",10904,44306,10836,48836
1434,"Dakota County, Nebraska",20869,44928,20529,52401
1435,"Dawes County, Nebraska",9176,36974,8972,46146
1436,"Dawson County, Nebraska",24267,45208,23925,51238
1437,"Deuel County, Nebraska",1962,40093,1901,53438
1438,"Dixon County, Nebraska",5982,45814,5765,57036
1439,"Dodge County, Nebraska",36590,46475,36576,51748
1440,"Douglas County, Nebraska",518271,53295,549706,58640
1441,"Dundy County, Nebraska",1996,39596,2017,44653
1442,"Fillmore County, Nebraska",5867,45970,5603,56750
1443,"Franklin County, Nebraska",3196,42054,3019,49453
1444,"Frontier County, Nebraska",2693,51328,2624,52090
1445,"Furnas County, Nebraska",4922,40759,4814,43400
1446,"Gage County, Nebraska",22209,46164,21632,52223
1447,"Garden County, Nebraska",2011,40125,1913,48125
1448,"Garfield County, Nebraska",2106,39241,1958,46509
1449,"Gosper County, Nebraska",2020,44241,2019,61769
1450,"Grant County, Nebraska",608,40982,682,45833
1451,"Greeley County, Nebraska",2515,44219,2436,47218
1452,"Hall County, Nebraska",58681,48044,61233,53807
1453,"Hamilton County, Nebraska",9096,56809,9149,61944
1454,"Harlan County, Nebraska",3419,44801,3469,46750
1455,"Hayes County, Nebraska",1037,47150,957,44946
1456,"Hitchcock County, Nebraska",2898,40000,2860,41582
1457,"Holt County, Nebraska",10418,47768,10293,52050
1458,"Hooker County, Nebraska",689,38750,684,41607
1459,"Howard County, Nebraska",6294,48293,6385,53648
1460,"Jefferson County, Nebraska",7572,43407,7276,46576
1461,"Johnson County, Nebraska",5188,42689,5200,49564
1462,"Kearney County, Nebraska",6514,54485,6547,53207
1463,"Keith County, Nebraska",8284,43662,8129,45078
1464,"Keya Paha County, Nebraska",742,33472,720,48864
1465,"Kimball County, Nebraska",3789,43542,3688,43017
1466,"Knox County, Nebraska",8648,41372,8496,48072
1467,"Lancaster County, Nebraska",286425,51810,306357,55747
1468,"Lincoln County, Nebraska",36212,49382,35569,55875
1469,"Logan County, Nebraska",724,44444,919,50278
1470,"Loup County, Nebraska",534,37708,537,58625
1471,"McPherson County, Nebraska",348,51563,432,60714
1472,"Madison County, Nebraska",34766,45717,35062,49865
1473,"Merrick County, Nebraska",7779,49609,7829,53536
1474,"Morrill County, Nebraska",4993,42025,4903,44201
1475,"Nance County, Nebraska",3730,40714,3569,45428
1476,"Nemaha County, Nebraska",7224,41929,7041,55536
1477,"Nuckolls County, Nebraska",4490,33875,4318,42055
1478,"Otoe County, Nebraska",15729,50917,15875,54605
1479,"Pawnee County, Nebraska",2753,43634,2704,42176
1480,"Perkins County, Nebraska",2947,53299,2904,58125
1481,"Phelps County, Nebraska",9184,47871,9163,56408
1482,"Pierce County, Nebraska",7231,52096,7175,55417
1483,"Platte County, Nebraska",32195,51395,32875,58679
1484,"Polk County, Nebraska",5371,52012,5244,63667
1485,"Red Willow County, Nebraska",11013,45206,10870,42882
1486,"Richardson County, Nebraska",8355,38977,8045,46839
1487,"Rock County, Nebraska",1540,41619,1381,52361
1488,"Saline County, Nebraska",14278,46434,14325,50932
1489,"Sarpy County, Nebraska",159413,69269,175188,75752
1490,"Saunders County, Nebraska",20696,58785,20953,65015
1491,"Scotts Bluff County, Nebraska",36835,43113,36509,47975
1492,"Seward County, Nebraska",16729,60676,17045,63095
1493,"Sheridan County, Nebraska",5432,37813,5241,41209
1494,"Sherman County, Nebraska",3133,43000,3048,48704
1495,"Sioux County, Nebraska",1262,43558,1256,45375
1496,"Stanton County, Nebraska",6139,50962,6020,57534
1497,"Thayer County, Nebraska",5195,43077,5133,48151
1498,"Thomas County, Nebraska",831,56429,643,53173
1499,"Thurston County, Nebraska",6926,41961,7055,44701
1500,"Valley County, Nebraska",4322,44762,4252,50270
1501,"Washington County, Nebraska",20201,65803,20414,66485
1502,"Wayne County, Nebraska",9542,46612,9409,58093
1503,"Webster County, Nebraska",3773,39722,3597,43831
1504,"Wheeler County, Nebraska",725,39602,846,49706
1505,"York County, Nebraska",13727,47220,13832,59966
1506,"Churchill County, Nevada",24779,54538,24022,46914
1507,"Clark County, Nevada",1954773,54218,2112436,54882
1508,"Douglas County, Nevada",47056,61099,47632,61176
1509,"Elko County, Nevada",49133,70411,52377,76178
1510,"Esmeralda County, Nevada",916,27500,1102,39405
1511,"Eureka County, Nevada",1809,61331,1728,67159
1512,"Humboldt County, Nevada",16511,57874,17088,69324
1513,"Lander County, Nevada",5751,70341,5887,79865
1514,"Lincoln County, Nevada",5282,39293,5203,52971
1515,"Lyon County, Nevada",51797,46088,52303,50920
1516,"Mineral County, Nevada",4718,33547,4471,39375
1517,"Nye County, Nevada",43801,39150,43296,44225
1518,"Pershing County, Nevada",6707,51094,6661,52308
1519,"Storey County, Nevada",4010,62561,3891,63607
1520,"Washoe County, Nevada",422010,53994,445551,58595
1521,"White Pine County, Nevada",9967,46505,9858,60358
1522,"Carson City, Nevada",55184,53987,54219,49341
1523,"Belknap County, New Hampshire",60206,57163,60383,65834
1524,"Carroll County, New Hampshire",47761,50865,47524,58139
1525,"Cheshire County, New Hampshire",77106,56062,76109,60148
1526,"Coos County, New Hampshire",32872,41774,32119,45386
1527,"Grafton County, New Hampshire",88985,53386,89280,61036
1528,"Hillsborough County, New Hampshire",401101,70472,406371,75777
1529,"Merrimack County, New Hampshire",146742,65487,147958,69856
1530,"Rockingham County, New Hampshire",295872,77939,302479,85619
1531,"Strafford County, New Hampshire",123295,58538,126552,67805
1532,"Sullivan County, New Hampshire",43534,53821,43073,59419
1533,"Atlantic County, New Jersey",274402,54559,272926,57514
1534,"Bergen County, New Jersey",906781,84255,937920,91572
1535,"Burlington County, New Jersey",449117,78229,449192,82839
1536,"Camden County, New Jersey",513660,62320,510996,65037
1537,"Cape May County, New Jersey",96987,56370,94549,62332
1538,"Cumberland County, New Jersey",156864,51530,154952,50000
1539,"Essex County, New Jersey",783840,55027,800401,57365
1540,"Gloucester County, New Jersey",288187,74915,291372,81489
1541,"Hudson County, New Jersey",636194,58722,679756,62681
1542,"Hunterdon County, New Jersey",127996,105880,125717,110969
1543,"Mercer County, New Jersey",366442,73759,373362,77027
1544,"Middlesex County, New Jersey",811064,79442,837288,83133
1545,"Monmouth County, New Jersey",629263,84746,627551,91807
1546,"Morris County, New Jersey",493472,97979,498847,107034
1547,"Ocean County, New Jersey",575961,61038,589699,65771
1548,"Passaic County, New Jersey",500168,57540,510563,63339
1549,"Salem County, New Jersey",66007,59336,63776,63934
1550,"Somerset County, New Jersey",323650,98571,333316,106046
1551,"Sussex County, New Jersey",148962,85507,143570,89238
1552,"Union County, New Jersey",536383,69347,557320,73376
1553,"Warren County, New Jersey",108488,73056,107088,75500
1554,"Bernalillo County, New Mexico",661924,48398,674855,50386
1555,"Catron County, New Mexico",3686,34738,3547,42047
1556,"Chaves County, New Mexico",65343,38155,65454,42177
1557,"Cibola County, New Mexico",27293,35674,27049,36089
1558,"Colfax County, New Mexico",13614,38263,12522,33042
1559,"Curry County, New Mexico",48101,41250,50283,41941
1560,"De Baca County, New Mexico",2069,32554,2016,31439
